Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Autauga County, AL",1001.0,73.65,55.27,92.4,"Autauga County, AL",32.5081,-86.6513
,"Baldwin County, AL",1003.0,75.38,60.64,92.83,"Baldwin County, AL",30.7725,-87.7842
,"Barbour County, AL",1005.0,74.94,56.75,92.03,"Barbour County, AL",31.8832,-85.3931
,"Bibb County, AL",1007.0,72.89,54.53,92.39,"Bibb County, AL",33.0388,-87.0967
,"Blount County, AL",1009.0,70.35,53.13,91.1,"Blount County, AL",34.0126,-86.5339
,"Bullock County, AL",1011.0,74.23,55.7,92.05,"Bullock County, AL",32.0945,-85.7131
,"Butler County, AL",1013.0,74.36,56.18,92.18,"Butler County, AL",31.7404,-86.6759
,"Calhoun County, AL",1015.0,70.79,53.14,90.93,"Calhoun County, AL",33.7625,-85.8417
,"Chambers County, AL",1017.0,72.02,54.64,90.86,"Chambers County, AL",32.9225,-85.3942
,"Cherokee County, AL",1019.0,69.9,53.07,90.88,"Cherokee County, AL",34.2345,-85.6478
,"Chilton County, AL",1021.0,72.59,54.81,91.79,"Chilton County, AL",32.8658,-86.665
,"Choctaw County, AL",1023.0,74.86,55.17,93.41,"Choctaw County, AL",32.0048,-88.286
,"Clarke County, AL",1025.0,75.36,55.43,93.04,"Clarke County, AL",31.5888,-87.8145
,"Clay County, AL",1027.0,70.32,53.11,89.83,"Clay County, AL",33.2947,-85.8155
,"Cleburne County, AL",1029.0,69.8,52.48,89.85,"Cleburne County, AL",33.7164,-85.4945
,"Coffee County, AL",1031.0,75.12,57.31,92.15,"Coffee County, AL",31.399,-85.993
,"Colbert County, AL",1033.0,69.94,53.33,92.05,"Colbert County, AL",34.7368,-87.5953
,"Conecuh County, AL",1035.0,74.95,57.06,92.4,"Conecuh County, AL",31.4682,-86.9508
,"Coosa County, AL",1037.0,72.14,54.8,91.31,"Coosa County, AL",32.9278,-86.2616
,"Covington County, AL",1039.0,75.45,56.9,92.37,"Covington County, AL",31.2565,-86.4472
,"Crenshaw County, AL",1041.0,74.26,56.02,91.96,"Crenshaw County, AL",31.7415,-86.2967
,"Cullman County, AL",1043.0,70.2,52.75,91.17,"Cullman County, AL",34.0862,-86.9042
,"Dale County, AL",1045.0,75.53,57.68,92.12,"Dale County, AL",31.4079,-85.6038
,"Dallas County, AL",1047.0,74.57,55.17,93.22,"Dallas County, AL",32.3888,-87.1278
,"DeKalb County, AL",1049.0,67.71,52.13,89.28,"DeKalb County, AL",34.5306,-85.7226
,"Elmore County, AL",1051.0,73.65,55.49,92.46,"Elmore County, AL",32.5877,-86.1519
,"Escambia County, AL",1053.0,75.6,57.52,92.55,"Escambia County, AL",31.1268,-87.158
,"Etowah County, AL",1055.0,70.28,52.98,91,"Etowah County, AL",34.0211,-86.0433
,"Fayette County, AL",1057.0,71.78,53.96,92.29,"Fayette County, AL",33.7201,-87.7385
,"Franklin County, AL",1059.0,69.78,53.11,91.43,"Franklin County, AL",34.4509,-87.844
,"Geneva County, AL",1061.0,76.31,57.67,92.51,"Geneva County, AL",31.0954,-85.839
,"Greene County, AL",1063.0,73.92,54.28,93.67,"Greene County, AL",32.8362,-88.0005
,"Hale County, AL",1065.0,73.9,54.55,93.35,"Hale County, AL",32.7441,-87.6382
,"Henry County, AL",1067.0,75.4,57.45,92.04,"Henry County, AL",31.5417,-85.2284
,"Houston County, AL",1069.0,76.55,57.89,92.46,"Houston County, AL",31.1562,-85.2809
,"Jackson County, AL",1071.0,68.12,51.84,90.02,"Jackson County, AL",34.7224,-86.0339
,"Jefferson County, AL",1073.0,71.61,54.25,91.76,"Jefferson County, AL",33.5455,-86.8602
,"Lamar County, AL",1075.0,72.15,53.32,92.82,"Lamar County, AL",33.7932,-88.0966
,"Lauderdale County, AL",1077.0,69.4,52.86,91.82,"Lauderdale County, AL",34.87,-87.5844
,"Lawrence County, AL",1079.0,69.87,52.95,91.44,"Lawrence County, AL",34.5516,-87.3181
,"Lee County, AL",1081.0,73.03,55.29,91.27,"Lee County, AL",32.5787,-85.3621
,"Limestone County, AL",1083.0,69.44,52.47,91.36,"Limestone County, AL",34.7752,-87.0313
,"Lowndes County, AL",1085.0,74.54,55.75,92.94,"Lowndes County, AL",32.1852,-86.6581
,"Macon County, AL",1087.0,74.24,55.79,92.47,"Macon County, AL",32.4142,-85.7275
,"Madison County, AL",1089.0,69.04,52.26,90.87,"Madison County, AL",34.7333,-86.5722
,"Marengo County, AL",1091.0,74.61,54.97,93.41,"Marengo County, AL",32.269,-87.7608
,"Marion County, AL",1093.0,70.59,53.39,91.74,"Marion County, AL",34.1214,-87.918
,"Marshall County, AL",1095.0,69.29,52.31,90.47,"Marshall County, AL",34.3531,-86.3454
,"Mobile County, AL",1097.0,76.11,59.68,92.99,"Mobile County, AL",30.7466,-88.2172
,"Monroe County, AL",1099.0,75.13,55.92,92.68,"Monroe County, AL",31.5303,-87.3817
,"Montgomery County, AL",1101.0,74.38,55.88,92.71,"Montgomery County, AL",32.2329,-86.2039
,"Morgan County, AL",1103.0,69.95,52.73,91.34,"Morgan County, AL",34.4947,-86.834
,"Perry County, AL",1105.0,73.82,54.63,92.92,"Perry County, AL",32.5916,-87.2881
,"Pickens County, AL",1107.0,73.17,53.67,93.31,"Pickens County, AL",33.2663,-88.0727
,"Pike County, AL",1109.0,74.38,56.31,91.81,"Pike County, AL",31.8394,-85.9279
,"Randolph County, AL",1111.0,70.9,53.39,90.22,"Randolph County, AL",33.3006,-85.4599
,"Russell County, AL",1113.0,74.49,56.08,92.3,"Russell County, AL",32.2863,-85.1791
,"St. Clair County, AL",1115.0,70.76,53.33,91.1,"St. Clair County, AL",33.6907,-86.3647
,"Shelby County, AL",1117.0,71.83,54.58,91.68,"Shelby County, AL",33.2829,-86.6796
,"Sumter County, AL",1119.0,74.17,54.46,93.66,"Sumter County, AL",32.6525,-88.2171
